model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost-6,1,0.8,1.0,1,1,1470,2025-09-24,2025-09-24,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-09-23,2025-09-23,6,initial,5
xgboost-6,1,0.1,1.0,1,0,1470,2025-09-22,2025-09-22,6,initial,5
xgboost-6,1,0.45,1.0,1,0,1470,2025-09-19,2025-09-19,6,initial,5
xgboost-6,1,0.2,1.0,1,0,1470,2025-09-18,2025-09-18,6,initial,5
xgboost-6,1,0.75,1.0,1,1,1470,2025-09-17,2025-09-17,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-16,2025-09-16,6,initial,5
xgboost-6,1,0.9,1.0,1,1,1470,2025-09-15,2025-09-15,6,initial,5
xgboost-6,1,0.75,1.0,1,1,1470,2025-09-12,2025-09-12,6,initial,5
xgboost-6,1,0.35,0.0,1,1,1470,2025-09-11,2025-09-11,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-10,2025-09-10,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-09,2025-09-09,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-09-08,2025-09-08,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-05,2025-09-05,6,initial,5
xgboost-6,1,0.65,1.0,1,1,1470,2025-09-04,2025-09-04,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-09-03,2025-09-03,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-02,2025-09-02,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-08-29,2025-08-29,6,initial,5
xgboost-6,1,0.95,0.0,1,0,1470,2025-08-28,2025-08-28,6,initial,5
xgboost-6,1,0.35,0.0,1,1,1470,2025-08-27,2025-08-27,6,initial,5
xgboost-6,1,0.75,0.0,1,0,1470,2025-08-26,2025-08-26,6,initial,5
xgboost-6,1,0.8,0.0,1,0,1470,2025-08-25,2025-08-25,6,initial,5
xgboost-6,1,0.85,0.0,1,0,1470,2025-08-22,2025-08-22,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-21,2025-08-21,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-08-20,2025-08-20,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-19,2025-08-19,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-08-18,2025-08-18,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-08-15,2025-08-15,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-08-14,2025-08-14,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-08-13,2025-08-13,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-08-12,2025-08-12,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-08-11,2025-08-11,6,initial,5
xgboost-6,1,0.55,1.0,1,1,1470,2025-08-08,2025-08-08,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-07,2025-08-07,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-06,2025-08-06,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-05,2025-08-05,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-04,2025-08-04,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-08-01,2025-08-01,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-07-31,2025-07-31,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-07-30,2025-07-30,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-07-29,2025-07-29,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-07-28,2025-07-28,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-07-25,2025-07-25,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-07-24,2025-07-24,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-23,2025-07-23,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-22,2025-07-22,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-07-21,2025-07-21,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-07-18,2025-07-18,6,initial,5
xgboost-6,1,0.8,1.0,1,1,1470,2025-07-17,2025-07-17,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-16,2025-07-16,6,initial,5
xgboost-6,1,0.75,1.0,1,1,1470,2025-07-15,2025-07-15,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-07-14,2025-07-14,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-11,2025-07-11,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-07-10,2025-07-10,6,initial,5
xgboost-6,1,0.5,0.0,1,1,1470,2025-07-09,2025-07-09,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-08,2025-07-08,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-07,2025-07-07,6,initial,5
xgboost-6,1,0.1,1.0,1,0,1470,2025-07-03,2025-07-03,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-02,2025-07-02,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-07-01,2025-07-01,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-06-30,2025-06-30,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-06-27,2025-06-27,6,initial,5
